ModelName,Technique,Proportion,Step,validation_loss,memory_used,inference_time,f1_score,auc_score
AE512_256x128_cnf_month,pruning,70,base_models,0.000581078405957669,1.25439453125,1.1433699131011963,0.8984423676012461,0.9006754893851668
AE512_256x128_cnf_week,pruning,70,base_models,0.0006830478087067604,1.25439453125,1.0853297710418701,0.899749373433584,0.902398676592225
AE512_128x64_cnf_month,pruning,70,base_models,0.0008899574750103056,0.56591796875,1.3334710597991943,0.9046728971962616,0.906764084183439
AE512_128x64_cnf_week,pruning,70,base_models,0.0010134346084669232,0.56591796875,1.0380661487579346,0.9008674101610905,0.9026054590570719
AE512_64x32_cnf_month,pruning,70,base_models,0.0015188433462753892,0.26904296875,1.1014394760131836,0.9078455790784558,0.909819869497289
AE512_64x32_cnf_week,pruning,70,base_models,0.0017278427258133888,0.26904296875,1.2372593879699707,0.9010578718108276,0.9031339031339032
AE512_256x128_cnf_month,pruning,70,pruned_models,0.0014154358068481088,1.06640625,0.8989334106445312,0.8953709575142677,0.8991361088135281
AE512_256x128_cnf_week,pruning,70,pruned_models,0.1707666963338852,1.06640625,1.03218412399292,0.6582278481012658,0.5
AE512_128x64_cnf_month,pruning,70,pruned_models,0.09603092819452286,0.482421875,1.0507240295410156,0.6582278481012658,0.5
AE512_128x64_cnf_week,pruning,70,pruned_models,0.1334826797246933,0.482421875,1.39408540725708,0.6582278481012658,0.5
AE512_64x32_cnf_month,pruning,70,pruned_models,0.017560359090566635,0.22998046875,0.9472002983093262,0.6582278481012658,0.5
AE512_64x32_cnf_week,pruning,70,pruned_models,0.07685499638319016,0.22998046875,1.0700013637542725,0.6582278481012658,0.5
AE512_256x128_cnf_month,pruning,70,fine-tuned_models,0.0005741511704400182,1.06640625,1.2128162384033203,0.8983688833124216,0.901157981803143
AE512_256x128_cnf_week,pruning,70,fine-tuned_models,0.0006849817000329494,1.06640625,1.0359876155853271,0.8963795255930087,0.8988144472015439
AE512_128x64_cnf_month,pruning,70,fine-tuned_models,0.0009011901565827429,0.482421875,0.941565990447998,0.9054726368159204,0.9074074074074074
AE512_128x64_cnf_week,pruning,70,fine-tuned_models,0.0010392800904810429,0.482421875,1.3191635608673096,0.9014259144451333,0.9032028306221855
AE512_64x32_cnf_month,pruning,70,fine-tuned_models,0.0015521467430517077,0.22998046875,0.914039134979248,0.9063482086737901,0.9090386912967559
AE512_64x32_cnf_week,pruning,70,fine-tuned_models,0.0017950917826965451,0.22998046875,0.7091677188873291,0.9061326658322904,0.9085102472199247
AE512_256x128_cnf_month,pruning,60,base_models,0.0005912441411055624,1.25439453125,1.2555947303771973,0.8956145768993206,0.8971831633121955
AE512_256x128_cnf_week,pruning,60,base_models,0.0006569409742951393,1.25439453125,1.4807875156402588,0.8978829389788294,0.9000781178200533
AE512_128x64_cnf_month,pruning,60,base_models,0.0009025249746628106,0.56591796875,0.863008975982666,0.906832298136646,0.9086481021964893
AE512_128x64_cnf_week,pruning,60,base_models,0.0010455952724441886,0.56591796875,0.749192476272583,0.9001233045622689,0.9014796434151272
AE512_64x32_cnf_month,pruning,60,base_models,0.0014979756670072675,0.26904296875,0.9504642486572266,0.9052890528905289,0.9063964709125998
AE512_64x32_cnf_week,pruning,60,base_models,0.0018509195651859045,0.26904296875,1.2470684051513672,0.9015795868772782,0.9017553533682566
AE512_256x128_cnf_month,pruning,60,pruned_models,0.009134417399764061,1.00537109375,0.6891238689422607,0.7913669064748201,0.7887602242440952
AE512_256x128_cnf_week,pruning,60,pruned_models,0.12932929396629333,1.00537109375,1.1671850681304932,0.6582278481012658,0.5
AE512_128x64_cnf_month,pruning,60,pruned_models,0.012418873608112335,0.4541015625,1.1245787143707275,0.6582278481012658,0.5
AE512_128x64_cnf_week,pruning,60,pruned_models,0.1596144437789917,0.4541015625,1.488189935684204,0.6582278481012658,0.5
AE512_64x32_cnf_month,pruning,60,pruned_models,0.014149312861263752,0.21533203125,1.3558707237243652,0.6582278481012658,0.5
AE512_64x32_cnf_week,pruning,60,pruned_models,0.1445154845714569,0.21533203125,1.4906549453735352,0.6582278481012658,0.5
AE512_256x128_cnf_month,pruning,60,fine-tuned_models,0.000594302371609956,1.00537109375,1.1049261093139648,0.8984025559105431,0.9026514107159267
AE512_256x128_cnf_week,pruning,60,fine-tuned_models,0.0007030555279925466,1.00537109375,1.3865742683410645,0.9007444168734491,0.9025824832276446
AE512_128x64_cnf_month,pruning,60,fine-tuned_models,0.0009156634914688766,0.4541015625,1.1369662284851074,0.9030265596046942,0.9044894770701222
AE512_128x64_cnf_week,pruning,60,fine-tuned_models,0.0010996091878041625,0.4541015625,1.4799044132232666,0.9004854368932039,0.9005606102380298
AE512_64x32_cnf_month,pruning,60,fine-tuned_models,0.0018254247261211276,0.21533203125,1.2932865619659424,0.9043698543381887,0.9076831173605369
AE512_64x32_cnf_week,pruning,60,fine-tuned_models,0.0019502285867929459,0.21533203125,1.4025599956512451,0.9036585365853659,0.904121863799283
AE512_256x128_cnf_month,pruning,50,base_models,0.0005747210816480219,1.25439453125,1.5159659385681152,0.8978056426332288,0.9005606102380297
AE512_256x128_cnf_week,pruning,50,base_models,0.000627170957159251,1.25439453125,1.4071745872497559,0.8950962135319678,0.8970912599944858
AE512_128x64_cnf_month,pruning,50,base_models,0.0008782974909991026,0.56591796875,1.6548008918762207,0.9045592705167174,0.904788162852679
AE512_128x64_cnf_week,pruning,50,base_models,0.0010325872572138906,0.56591796875,1.3787240982055664,0.9011808576755749,0.9031568789633305
AE512_64x32_cnf_month,pruning,50,base_models,0.001551637426018715,0.26904296875,1.3347554206848145,0.9072681704260651,0.9097049903501517
AE512_64x32_cnf_week,pruning,50,base_models,0.0018404194852337241,0.26904296875,1.3348703384399414,0.9027946537059538,0.902973072327911
AE512_256x128_cnf_month,pruning,50,pruned_models,0.0038305039051920176,0.94140625,1.4265766143798828,0.889431887599267,0.890083632019116
AE512_256x128_cnf_week,pruning,50,pruned_models,0.2063591480255127,0.94140625,1.8188109397888184,0.6582278481012658,0.5
AE512_128x64_cnf_month,pruning,50,pruned_models,0.04338843375444412,0.42529296875,1.333533763885498,0.6582278481012658,0.5
AE512_128x64_cnf_week,pruning,50,pruned_models,0.18361493945121765,0.42529296875,1.541435718536377,0.6582278481012658,0.5
AE512_64x32_cnf_month,pruning,50,pruned_models,0.03121797740459442,0.20263671875,1.3233911991119385,0.6582278481012658,0.5
AE512_64x32_cnf_week,pruning,50,pruned_models,0.17452920973300934,0.20263671875,1.2646563053131104,0.6582278481012658,0.5
AE512_256x128_cnf_month,pruning,50,fine-tuned_models,0.0006401321152225137,0.94140625,1.9731085300445557,0.903954802259887,0.9066262292068744
AE512_256x128_cnf_week,pruning,50,fine-tuned_models,0.000721424410585314,0.94140625,0.9073524475097656,0.8959220937309799,0.8962411543056704
AE512_128x64_cnf_month,pruning,50,fine-tuned_models,0.0010143412509933114,0.42529296875,1.2672579288482666,0.9041095890410958,0.9061667126183255
AE512_128x64_cnf_week,pruning,50,fine-tuned_models,0.001187430229038,0.42529296875,1.1303966045379639,0.8995037220843672,0.90136476426799
AE512_64x32_cnf_month,pruning,50,fine-tuned_models,0.002486512530595064,0.20263671875,1.2993426322937012,0.9018890920170628,0.9023067732745151
